block,basefee,basefee_gwei,gas_used,num_txs,demand_size,avg_premium,avg_premium_gwei,utilization
0,160000000,0.16,150000000,3000,3000,5478756244.89864,5.47875624489864,1.5
1,168000000,0.168,150000000,3000,3000,5476765420.839049,5.476765420839049,1.5
2,176400000,0.1764,150000000,3000,3000,5542393849.622547,5.542393849622547,1.5
3,185220000,0.18522,150000000,3000,3000,5496068625.6505375,5.496068625650538,1.5
4,194481000,0.194481,150000000,3000,3000,5545423265.602545,5.545423265602545,1.5
5,204205050,0.20420505,50000000,1000,1000,5468734895.893095,5.468734895893095,0.5
6,193994797,0.193994797,50000000,1000,1000,5362894649.076318,5.362894649076318,0.5
7,184295057,0.184295057,50000000,1000,1000,5420682150.334036,5.420682150334036,0.5
8,175080304,0.175080304,50000000,1000,1000,5572580646.893939,5.572580646893939,0.5
9,166326288,0.166326288,50000000,1000,1000,5617767247.812466,5.617767247812465,0.5
10,160000000,0.16,150000000,3000,3000,5497919654.871856,5.497919654871856,1.5
11,168000000,0.168,150000000,3000,3000,5513229927.969394,5.513229927969394,1.5
12,176400000,0.1764,150000000,3000,3000,5441799851.073734,5.441799851073735,1.5
13,185220000,0.18522,150000000,3000,3000,5563948750.5982685,5.563948750598269,1.5
14,194481000,0.194481,150000000,3000,3000,5511015717.021393,5.511015717021393,1.5
15,204205050,0.20420505,50000000,1000,1000,5494396330.46618,5.49439633046618,0.5
16,193994797,0.193994797,50000000,1000,1000,5536637743.27188,5.53663774327188,0.5
17,184295057,0.184295057,50000000,1000,1000,5454988837.709933,5.454988837709934,0.5
18,175080304,0.175080304,50000000,1000,1000,5500392064.364479,5.500392064364479,0.5
19,166326288,0.166326288,50000000,1000,1000,5619434000.233566,5.619434000233566,0.5
20,160000000,0.16,150000000,3000,3000,5481043971.175249,5.481043971175249,1.5
21,168000000,0.168,150000000,3000,3000,5448346296.389755,5.448346296389755,1.5
22,176400000,0.1764,150000000,3000,3000,5424294288.584875,5.424294288584875,1.5
23,185220000,0.18522,150000000,3000,3000,5594899820.905144,5.594899820905144,1.5
24,194481000,0.194481,150000000,3000,3000,5455618507.77009,5.45561850777009,1.5
25,204205050,0.20420505,50000000,1000,1000,5386924009.45834,5.3869240094583395,0.5
26,193994797,0.193994797,50000000,1000,1000,5581599655.069721,5.581599655069721,0.5
27,184295057,0.184295057,50000000,1000,1000,5496257920.986773,5.496257920986772,0.5
28,175080304,0.175080304,50000000,1000,1000,5371928454.087111,5.3719284540871115,0.5
29,166326288,0.166326288,50000000,1000,1000,5614202547.890046,5.614202547890046,0.5
30,160000000,0.16,150000000,3000,3000,5524768214.446171,5.524768214446171,1.5
31,168000000,0.168,150000000,3000,3000,5423418050.6868305,5.423418050686831,1.5
32,176400000,0.1764,150000000,3000,3000,5417482985.378436,5.417482985378436,1.5
33,185220000,0.18522,150000000,3000,3000,5463702104.567848,5.463702104567848,1.5
34,194481000,0.194481,150000000,3000,3000,5479722393.274129,5.479722393274129,1.5
35,204205050,0.20420505,50000000,1000,1000,5553989759.804431,5.5539897598044305,0.5
36,193994797,0.193994797,50000000,1000,1000,5507093625.896307,5.507093625896307,0.5
37,184295057,0.184295057,50000000,1000,1000,5596721565.4115305,5.5967215654115305,0.5
38,175080304,0.175080304,50000000,1000,1000,5570548590.958827,5.570548590958827,0.5
