block,basefee,basefee_gwei,gas_used,num_txs,demand_size,avg_premium,avg_premium_gwei,utilization
0,160000000,0.16,99999999,3333,3333,7752151614.286743,7.752151614286743,1.33333332
1,165333333,0.165333333,105224028,3507,3507,7699300306.829274,7.699300306829274,1.40298704
2,171996052,0.171996052,110392074,3679,3679,7804242396.743243,7.804242396743243,1.47189432
3,180112448,0.180112448,115447696,3848,3848,7803909469.831248,7.803909469831249,1.5393026133333334
4,189825959,0.189825959,120334011,4011,4011,7687818356.306187,7.687818356306186,1.60445348
5,201300055,0.201300055,124996664,4166,4166,7710319058.112358,7.710319058112358,1.6666221866666666
6,214719163,0.214719163,129385872,4312,4312,7784591778.241788,7.784591778241788,1.72514496
7,230289414,0.230289414,133453344,4448,4448,7739172248.543306,7.739172248543307,1.77937792
8,248237662,0.248237662,137152855,4571,4571,7702072320.010542,7.702072320010542,1.8287047333333333
9,268809234,0.268809234,140448724,4681,4681,7708253187.645821,7.708253187645821,1.8726496533333334
10,292266862,0.292266862,143299104,4776,4776,7702831823.99715,7.70283182399715,1.91065472
11,318882281,0.318882281,145674275,4855,4855,7797592832.740837,7.797592832740837,1.9423236666666666
12,348931313,0.348931313,147549836,4918,4918,7835401727.694444,7.835401727694443,1.9673311466666668
13,382684525,0.382684525,148904889,4963,4963,7677931453.531626,7.677931453531626,1.98539852
14,420394201,0.420394201,149724950,4990,4990,7697270632.040276,7.697270632040276,1.9963326666666668
15,462279448,0.462279448,150000000,5000,5000,7831180060.50619,7.83118006050619,2.0
16,508507392,0.508507392,149724950,4990,4990,7753453753.818973,7.753453753818973,1.9963326666666668
17,559171644,0.559171644,148904889,4963,4963,7797894042.042933,7.797894042042934,1.98539852
18,614272335,0.614272335,147549836,4918,4918,7707483819.222756,7.707483819222756,1.9673311466666668
19,673692811,0.673692811,145674275,4855,4855,7708641786.299775,7.708641786299775,1.9423236666666666
20,737176478,0.737176478,143299104,4776,4776,7760136568.780666,7.760136568780666,1.91065472
21,804307801,0.804307801,140448724,4681,4681,7791766775.768293,7.791766775768293,1.8726496533333334
22,874495693,0.874495693,137152855,4571,4571,7617075149.475192,7.617075149475192,1.8287047333333333
23,946965565,0.946965565,133453344,4448,4448,7742169829.051109,7.742169829051109,1.77937792
24,1020769970,1.02076997,129385872,4312,4312,7750651680.903458,7.750651680903458,1.72514496
25,1094790589,1.094790589,124996664,4166,4166,7778720822.681533,7.7787208226815325,1.6666221866666666
26,1167771758,1.167771758,120334011,4011,4011,7634355705.562652,7.634355705562651,1.60445348
27,1238358128,1.238358128,115447696,3848,3848,7835490091.593674,7.835490091593674,1.5393026133333334
28,1305143105,1.305143105,110392074,3679,3679,7774962585.90417,7.77496258590417,1.47189432
29,1366732066,1.366732066,105224028,3507,3507,7803747342.14368,7.80374734214368,1.40298704
30,1421809596,1.421809596,99999999,3333,3333,7872689269.793728,7.872689269793728,1.33333332
31,1469203247,1.469203247,94773159,3159,3159,7686385299.855705,7.686385299855705,1.26364212
32,1507937632,1.507937632,89603888,2986,2986,7793772800.208185,7.793772800208186,1.1947185066666666
33,1537299968,1.537299968,84548454,2818,2818,7772538084.703959,7.772538084703959,1.12731272
34,1556871752,1.556871752,79660620,2655,2655,7737284331.2339525,7.737284331233952,1.0621416
35,1566546402,1.566546402,75000000,2500,2500,7864709267.216548,7.864709267216548,1.0
36,1566546402,1.566546402,70608824,2353,2353,7689966571.953723,7.689966571953723,0.9414509866666667
37,1557374427,1.557374427,66542218,2218,2218,7871653739.69666,7.87165373969666,0.8872295733333333
38,1539811849,1.539811849,62840940,2094,2094,7853208039.423445,7.8532080394234445,0.8378792
39,1514848296,1.514848296,59547776,1984,1984,7836805200.658081,7.836805200658081,0.7939703466666667
