block,basefee,basefee_gwei,gas_used,num_txs,demand_size,avg_premium,avg_premium_gwei,utilization
0,160000000,0.16,150000000,3000,3000,5478756244.89864,5.47875624489864,1.5
1,168000000,0.168,150000000,3000,3000,5476765420.839049,5.476765420839049,1.5
2,176400000,0.1764,150000000,3000,3000,5542393849.622547,5.542393849622547,1.5
3,185220000,0.18522,150000000,3000,3000,5496068625.6505375,5.496068625650538,1.5
4,194481000,0.194481,150000000,3000,3000,5545423265.602545,5.545423265602545,1.5
5,204205050,0.20420505,50000000,1000,1000,5468734895.893095,5.468734895893095,0.5
6,211011884,0.211011884,50000000,1000,1000,5362894649.076318,5.362894649076318,0.5
7,215533567,0.215533567,50000000,1000,1000,5420682150.334036,5.420682150334036,0.5
8,218227736,0.218227736,50000000,1000,1000,5572580646.893939,5.572580646893939,0.5
9,219440112,0.219440112,50000000,1000,1000,5617767247.812466,5.617767247812465,0.5
10,219440112,0.219440112,150000000,3000,3000,5497919654.871856,5.497919654871856,1.5
11,220437567,0.220437567,150000000,3000,3000,5513229927.969394,5.513229927969394,1.5
12,222274546,0.222274546,150000000,3000,3000,5441799851.073734,5.441799851073735,1.5
13,224839252,0.224839252,150000000,3000,3000,5563948750.5982685,5.563948750598269,1.5
14,228051241,0.228051241,150000000,3000,3000,5511015717.021393,5.511015717021393,1.5
15,231852095,0.231852095,50000000,1000,1000,5494396330.46618,5.49439633046618,0.5
16,234750246,0.234750246,50000000,1000,1000,5536637743.27188,5.53663774327188,0.5
17,236821571,0.236821571,50000000,1000,1000,5454988837.709933,5.454988837709934,0.5
18,238137246,0.238137246,50000000,1000,1000,5500392064.364479,5.500392064364479,0.5
19,238763922,0.238763922,50000000,1000,1000,5619434000.233566,5.619434000233566,0.5
20,238763922,0.238763922,150000000,3000,3000,5481043971.175249,5.481043971175249,1.5
21,239332407,0.239332407,150000000,3000,3000,5448346296.389755,5.448346296389755,1.5
22,240420281,0.240420281,150000000,3000,3000,5424294288.584875,5.424294288584875,1.5
23,241988239,0.241988239,150000000,3000,3000,5594899820.905144,5.594899820905144,1.5
24,244004807,0.244004807,150000000,3000,3000,5455618507.77009,5.45561850777009,1.5
25,246444855,0.246444855,50000000,1000,1000,5386924009.45834,5.3869240094583395,0.5
26,247923524,0.247923524,50000000,1000,1000,5581599655.069721,5.581599655069721,0.5
27,248419371,0.248419371,50000000,1000,1000,5496257920.986773,5.496257920986772,0.5
28,247922532,0.247922532,50000000,1000,1000,5371928454.087111,5.3719284540871115,0.5
29,246434996,0.246434996,50000000,1000,1000,5614202547.890046,5.614202547890046,0.5
30,243970646,0.243970646,150000000,3000,3000,5524768214.446171,5.524768214446171,1.5
31,242506822,0.242506822,150000000,3000,3000,5423418050.6868305,5.423418050686831,1.5
32,242021808,0.242021808,150000000,3000,3000,5417482985.378436,5.417482985378436,1.5
33,242505851,0.242505851,150000000,3000,3000,5463702104.567848,5.463702104567848,1.5
34,243960886,0.243960886,150000000,3000,3000,5479722393.274129,5.479722393274129,1.5
35,246400494,0.246400494,50000000,1000,1000,5553989759.804431,5.5539897598044305,0.5
36,247878896,0.247878896,50000000,1000,1000,5507093625.896307,5.507093625896307,0.5
37,248374653,0.248374653,50000000,1000,1000,5596721565.4115305,5.5967215654115305,0.5
38,247877903,0.247877903,50000000,1000,1000,5570548590.958827,5.570548590958827,0.5
