block,basefee,basefee_gwei,gas_used,num_txs,demand_size,avg_premium,avg_premium_gwei,utilization
0,160000000,0.16,149972642,1501,2000,11275474214.43064,11.27547421443064,1.49972642
1,167995622,0.167995622,149942593,1493,2000,11354497254.068092,11.354497254068093,1.49942593
2,176388283,0.176388283,149877188,1490,2000,11253877495.735012,11.253877495735011,1.49877188
3,185195492,0.185195492,149991898,1506,2000,11288240611.66971,11.28824061166971,1.49991898
4,194445280,0.19444528,149957845,1482,2000,11292053242.824266,11.292053242824267,1.49957845
5,204157517,0.204157517,149960224,1492,2000,11263650421.046686,11.263650421046686,1.49960224
6,214355266,0.214355266,149953622,1500,2000,11201194014.486677,11.201194014486678,1.49953622
7,225062495,0.225062495,149977024,1504,2000,11276026656.597406,11.276026656597406,1.49977024
8,236305296,0.236305296,149927735,1486,2000,11273341037.357468,11.273341037357469,1.49927735
9,248109028,0.248109028,149916985,1507,2000,11271678283.954569,11.27167828395457,1.49916985
10,260501522,0.260501522,149905770,1513,2000,11159095680.723253,11.159095680723253,1.4990577
11,273511998,0.273511998,149969080,1490,2000,11267917376.934275,11.267917376934275,1.4996908
12,287172842,0.287172842,149947719,1492,2000,11107146860.015118,11.107146860015117,1.49947719
13,301516028,0.301516028,149928473,1479,2000,11258401748.894312,11.258401748894311,1.49928473
14,316575220,0.31657522,149967020,1527,2000,11124931297.504705,11.124931297504705,1.4996702
15,332387008,0.332387008,149948816,1498,2000,11341225960.982382,11.341225960982381,1.49948816
16,348988588,0.348988588,149901935,1488,2000,11238246010.096443,11.238246010096443,1.49901935
17,366418444,0.366418444,149956882,1504,2000,11240105629.878475,11.240105629878475,1.49956882
18,384719079,0.384719079,149909566,1507,2000,11200609404.822609,11.20060940482261,1.49909566
19,403933023,0.403933023,149971630,1495,2000,11081024872.194475,11.081024872194476,1.4997163
20,424107147,0.424107147,149985300,1524,2000,11138293021.89936,11.138293021899361,1.499853
21,445289682,0.445289682,149980144,1508,2000,11137782411.808414,11.137782411808415,1.49980144
22,467530891,0.467530891,149988094,1511,2000,11267998484.627853,11.267998484627853,1.49988094
23,490883818,0.490883818,149878611,1511,2000,11249094126.05492,11.24909412605492,1.49878611
24,515401762,0.515401762,149966138,1515,2000,11175640637.351406,11.175640637351407,1.49966138
25,541144697,0.541144697,149985764,1508,2000,11139817747.944109,11.13981774794411,1.49985764
26,568173706,0.568173706,149912452,1501,2000,11230479650.008018,11.230479650008018,1.49912452
27,596552071,0.596552071,149894950,1495,2000,11138252735.02429,11.13825273502429,1.4989495
28,626348264,0.626348264,149968826,1510,2000,11094471964.567438,11.094471964567438,1.49968826
29,657632120,0.65763212,149881613,1513,2000,11183902908.623386,11.183902908623386,1.49881613
30,690476487,0.690476487,149941842,1497,2000,11292868043.277523,11.292868043277522,1.49941842
31,724960705,0.724960705,149945324,1492,2000,11375103706.333542,11.375103706333542,1.49945324
32,761166915,0.761166915,149928759,1507,2000,11305833497.244678,11.305833497244679,1.49928759
33,799179877,0.799179877,149941028,1504,2000,11258079458.110243,11.258079458110243,1.49941028
34,839091646,0.839091646,149979862,1475,2000,11320282211.70959,11.320282211709591,1.49979862
35,880998755,0.880998755,149925874,1516,2000,11206588987.340866,11.206588987340867,1.49925874
36,924999557,0.924999557,149942456,1510,2000,11309493131.236837,11.309493131236838,1.49942456
37,971196960,0.97119696,149974094,1499,2000,11268526356.277027,11.268526356277027,1.49974094
38,1019702632,1.019702632,149954067,1499,2000,11167028034.10343,11.16702803410343,1.49954067
39,1070631926,1.070631926,149909421,1509,2000,11137457441.399498,11.137457441399498,1.49909421
40,1124102429,1.124102429,149983241,1479,2000,11341053210.463486,11.341053210463485,1.49983241
41,1180244954,1.180244954,149891148,1513,2000,11146812498.342379,11.146812498342378,1.49891148
42,1239190970,1.23919097,149901062,1498,2000,11348893228.195652,11.348893228195651,1.49901062
43,1301078212,1.301078212,149964112,1475,2000,11466318870.805645,11.466318870805646,1.49964112
44,1366059044,1.366059044,149920754,1494,2000,11252537997.97019,11.25253799797019,1.49920754
45,1434282488,1.434282488,149968722,1503,2000,11262933582.031425,11.262933582031426,1.49968722
46,1505912182,1.505912182,149932177,1523,2000,11184821109.711315,11.184821109711315,1.49932177
47,1581116255,1.581116255,149875585,1484,2000,11238632511.013245,11.238632511013245,1.49875585
48,1660068845,1.660068845,149979185,1480,2000,11233008597.949265,11.233008597949265,1.49979185
49,1742970588,1.742970588,149988981,1494,2000,11235986292.439842,11.235986292439842,1.49988981
50,1830013932,1.830013932,149925758,1485,2000,11396307163.65818,11.39630716365818,1.49925758
51,1921399798,1.921399798,149913471,1507,2000,11155408494.744867,11.155408494744867,1.49913471
52,2017349301,2.017349301,149959289,1490,2000,11206920730.81165,11.20692073081165,1.49959289
53,2118095454,2.118095454,149986875,1499,2000,11152476533.49691,11.15247653349691,1.49986875
54,2223874386,2.223874386,149949842,1491,2000,11346660599.300993,11.346660599300993,1.49949842
55,2334942049,2.334942049,149958291,1494,2000,11268475116.49465,11.268475116494649,1.49958291
56,2451558336,2.451558336,149868950,1498,2000,11124811749.041155,11.124811749041156,1.4986895
57,2573991415,2.573991415,149991393,1523,2000,11136287817.443697,11.136287817443696,1.49991393
58,2702545363,2.702545363,149978004,1485,2000,11289839052.567204,11.289839052567203,1.49978004
59,2837523733,2.837523733,149966540,1493,2000,11321487733.749022,11.321487733749022,1.4996654
60,2979242072,2.979242072,149939810,1506,2000,11189285369.169067,11.189285369169067,1.4993981
61,3128040106,3.128040106,149936828,1500,2000,11205726718.312958,11.205726718312958,1.49936828
62,3284269143,3.284269143,149922611,1488,2000,11472575534.870634,11.472575534870634,1.49922611
63,3448294229,3.448294229,149980471,1491,2000,11225307417.108665,11.225307417108665,1.49980471
64,3620514804,3.620514804,149918915,1503,2000,11320855940.563473,11.320855940563472,1.49918915
65,3801338087,3.801338087,149957724,1502,2000,11252798148.924921,11.25279814892492,1.49957724
66,3991188542,3.991188542,149927820,1501,2000,11359803473.923483,11.359803473923483,1.4992782
67,4190526565,4.190526565,149914078,1512,2000,11231527907.611002,11.231527907611001,1.49914078
68,4399822613,4.399822613,149920937,1517,2000,11302785113.6471,11.3027851136471,1.49920937
69,4619564363,4.619564363,149939456,1500,2000,11191990492.454697,11.191990492454696,1.49939456
70,4850284202,4.850284202,149919244,1491,2000,11296979803.62173,11.296979803621731,1.49919244
71,5092517529,5.092517529,149945182,1491,2000,11174565042.52431,11.174565042524309,1.49945182
72,5346851143,5.346851143,149989046,1491,2000,11379065517.403559,11.379065517403559,1.49989046
73,5613911108,5.613911108,149885013,1473,2000,11214539597.509037,11.214539597509036,1.49885013
74,5894288810,5.89428881,149938122,1491,2000,11232138905.738949,11.23213890573895,1.49938122
75,6188657531,6.188657531,149968228,1522,2000,11162599746.359993,11.162599746359993,1.49968228
76,6497737936,6.497737936,149945181,1500,2000,11200537814.380816,11.200537814380816,1.49945181
77,6822262999,6.822262999,149914211,1501,2000,11102366644.597044,11.102366644597044,1.49914211
78,7162983943,7.162983943,149946887,1512,2000,11202730594.100704,11.202730594100704,1.49946887
79,7520709889,7.520709889,149938894,1500,2000,11147874914.604113,11.147874914604113,1.49938894
80,7896297701,7.896297701,149872021,1508,2000,11186071280.034807,11.186071280034808,1.49872021
81,8290615298,8.290615298,149901013,1476,2000,11273393614.32146,11.27339361432146,1.49901013
82,8704634574,8.704634574,149945592,1510,2000,11282136153.150496,11.282136153150496,1.49945592
83,9139313324,9.139313324,149948027,1502,2000,11311216090.855362,11.311216090855362,1.49948027
84,9595687439,9.595687439,149955717,1495,2000,11195339196.569393,11.195339196569392,1.49955717
85,10074846566,10.074846566,149958792,1491,2000,11355487119.180767,11.355487119180767,1.49958792
86,10577940078,10.577940078,149971878,1484,2000,11246391685.691917,11.246391685691917,1.49971878
87,11106170697,11.106170697,149926310,1526,2000,11174550228.745123,11.174550228745122,1.4992631
88,11660781213,11.660781213,149918122,1500,2000,11327821019.464676,11.327821019464675,1.49918122
89,12243058316,12.243058316,149968759,1497,2000,11226687701.9494,11.2266877019494,1.49968759
90,12854435636,12.854435636,149933102,1495,2000,11321309627.4472,11.321309627447201,1.49933102
