block,basefee,basefee_gwei,gas_used,num_txs,demand_size,avg_premium,avg_premium_gwei,utilization
0,160000000,0.16,99999999,3333,3333,7715218618.727617,7.715218618727617,0.99999999
1,160000000,0.16,105224028,3507,3507,7678752892.505268,7.678752892505268,1.05224028
2,160835844,0.160835844,110392074,3679,3679,7890142677.861707,7.890142677861706,1.10392074
3,162507261,0.162507261,115447696,3848,3848,7743412524.369539,7.743412524369539,1.15447696
4,165017623,0.165017623,120334011,4011,4011,7673469402.629293,7.673469402629293,1.20334011
5,168373093,0.168373093,124996664,4166,4166,7811193499.675374,7.811193499675374,1.24996664
6,172581858,0.172581858,129385872,4312,4312,7767696612.764567,7.767696612764567,1.29385872
7,177653326,0.177653326,133453344,4448,4448,7748138018.116536,7.748138018116536,1.33453344
8,183596423,0.183596423,137152855,4571,4571,7767143393.2229805,7.76714339322298,1.37152855
9,190417554,0.190417554,140448724,4681,4681,7774092392.371564,7.774092392371564,1.40448724
10,198119701,0.198119701,143299104,4776,4776,7736890949.477151,7.736890949477151,1.43299104
11,206698106,0.206698106,145674275,4855,4855,7640456504.547049,7.640456504547049,1.45674275
12,216138892,0.216138892,147549836,4918,4918,7771414426.695093,7.7714144266950935,1.47549836
13,226416260,0.22641626,148904889,4963,4963,7753374899.67008,7.75337489967008,1.48904889
14,237489122,0.237489122,149724950,4990,4990,7718391514.768509,7.718391514768509,1.4972495
15,249298256,0.249298256,150000000,5000,5000,7644553537.737513,7.6445535377375124,1.5
16,261763168,0.261763168,149724950,4990,4990,7700570323.706443,7.700570323706443,1.4972495
17,274779328,0.274779328,148904889,4963,4963,7854486644.050044,7.854486644050044,1.48904889
18,288217380,0.28821738,147549836,4918,4918,7772685979.39729,7.7726859793972904,1.47549836
19,301922069,0.301922069,145674275,4855,4855,7773093039.656772,7.7730930396567715,1.45674275
20,315712140,0.31571214,143299104,4776,4776,7769138965.36486,7.76913896536486,1.43299104
21,329382192,0.329382192,140448724,4681,4681,7717012332.579424,7.717012332579424,1.40448724
22,342705281,0.342705281,137152855,4571,4571,7756688732.474416,7.756688732474416,1.37152855
23,355437760,0.35543776,133453344,4448,4448,7807928170.458773,7.807928170458773,1.33453344
24,367328341,0.367328341,129385872,4312,4312,7775305184.096788,7.775305184096789,1.29385872
25,378122604,0.378122604,124996664,4166,4166,7833179526.828857,7.833179526828857,1.24996664
26,387574407,0.387574407,120334011,4011,4011,7744165676.162633,7.744165676162633,1.20334011
27,395455349,0.395455349,115447696,3848,3848,7729007398.029637,7.729007398029637,1.15447696
28,401564223,0.401564223,110392074,3679,3679,7692124987.594912,7.692124987594911,1.10392074
29,405737308,0.405737308,105224028,3507,3507,7774721282.202657,7.774721282202656,1.05224028
30,407856891,0.407856891,99999999,3333,3333,7858896271.185233,7.858896271185233,0.99999999
31,407856890,0.40785689,94773159,3159,3159,7684060127.8724575,7.684060127872457,0.94773159
32,405725086,0.405725086,89603888,2986,2986,7810685345.011287,7.8106853450112865,0.89603888
33,401507122,0.401507122,84548454,2818,2818,7761296479.16258,7.76129647916258,0.84548454
34,395303216,0.395303216,79660620,2655,2655,7762360723.64574,7.76236072364574,0.7966062
35,387262993,0.387262993,75000000,2500,2500,7728937668.84807,7.72893766884807,0.75
36,377581418,0.377581418,70608824,2353,2353,7667371623.418913,7.667371623418913,0.70608824
37,366483856,0.366483856,66542218,2218,2218,7735871557.741661,7.735871557741661,0.66542218
38,354222119,0.354222119,62840940,2094,2094,7847149705.016792,7.847149705016792,0.6284094
39,341059558,0.341059558,59547776,1984,1984,7745851186.709682,7.745851186709682,0.59547776
40,327262940,0.32726294,56698335,1889,1889,7592075425.687288,7.592075425687288,0.56698335
41,313091909,0.313091909,54321720,1810,1810,7764806160.394561,7.764806160394561,0.5432172
42,298790409,0.298790409,52446992,1748,1748,7695983449.635506,7.695983449635506,0.52446992
43,284582026,0.284582026,51091703,1703,1703,7814458474.14129,7.81445847414129,0.51091703
44,270663603,0.270663603,50273450,1675,1675,7504002814.093031,7.504002814093031,0.5027345
45,257204435,0.257204435,49999992,1666,1666,7688406705.763601,7.688406705763601,0.49999992
46,244344211,0.244344211,50273450,1675,1675,7776318787.9485855,7.776318787948585,0.5027345
47,232193816,0.232193816,51091703,1703,1703,7834884708.347967,7.834884708347968,0.51091703
48,220837611,0.220837611,52446992,1748,1748,7697473351.340672,7.697473351340672,0.52446992
49,210336118,0.210336118,54321720,1810,1810,7756494169.72491,7.75649416972491,0.5432172
50,200728325,0.200728325,56698335,1889,1889,7704498575.710703,7.704498575710703,0.56698335
51,192036454,0.192036454,59547776,1984,1984,7711562233.90788,7.7115622339078795,0.59547776
52,184268152,0.184268152,62840940,2094,2094,7471161523.954254,7.471161523954255,0.6284094
53,177420920,0.17742092,66542218,2218,2218,7811268577.29014,7.81126857729014,0.66542218
54,171484809,0.171484809,70608824,2353,2353,7738128947.657429,7.738128947657429,0.70608824
55,166444668,0.166444668,75000000,2500,2500,7832886719.537051,7.8328867195370515,0.75
56,162283551,0.162283551,79660620,2655,2655,7698516187.820526,7.698516187820526,0.7966062
57,160000000,0.16,84548454,2818,2818,7637874377.858862,7.637874377858862,0.84548454
58,160000000,0.16,89603888,2986,2986,7766346947.765005,7.766346947765005,0.89603888
59,160000000,0.16,94773159,3159,3159,7690344915.335822,7.690344915335822,0.94773159
60,160000000,0.16,99999999,3333,3333,7716262384.095342,7.716262384095342,0.99999999
61,160000000,0.16,105224028,3507,3507,7781496670.256321,7.781496670256321,1.05224028
62,160835844,0.160835844,110392074,3679,3679,7750884060.384505,7.7508840603845055,1.10392074
63,162507261,0.162507261,115447696,3848,3848,7748748452.411389,7.748748452411389,1.15447696
64,165017623,0.165017623,120334011,4011,4011,7826045266.716535,7.826045266716535,1.20334011
65,168373093,0.168373093,124996664,4166,4166,7776157033.050107,7.776157033050107,1.24996664
66,172581858,0.172581858,129385872,4312,4312,7750233600.3205185,7.750233600320518,1.29385872
67,177653326,0.177653326,133453344,4448,4448,7625491056.332361,7.625491056332361,1.33453344
68,183596423,0.183596423,137152855,4571,4571,7662928381.37322,7.66292838137322,1.37152855
69,190417554,0.190417554,140448724,4681,4681,7734538075.032749,7.7345380750327495,1.40448724
70,198119701,0.198119701,143299104,4776,4776,7700516638.291253,7.700516638291253,1.43299104
71,206698106,0.206698106,145674275,4855,4855,7652077928.170496,7.652077928170496,1.45674275
72,216138892,0.216138892,147549836,4918,4918,7722391674.36185,7.72239167436185,1.47549836
73,226416260,0.22641626,148904889,4963,4963,7802638679.07177,7.8026386790717694,1.48904889
74,237489122,0.237489122,149724950,4990,4990,7803869350.346363,7.803869350346363,1.4972495
75,249298256,0.249298256,150000000,5000,5000,7686214181.673862,7.686214181673862,1.5
76,261763168,0.261763168,149724950,4990,4990,7780191221.663645,7.780191221663645,1.4972495
77,274779328,0.274779328,148904889,4963,4963,7847112483.3418865,7.847112483341887,1.48904889
78,288217380,0.28821738,147549836,4918,4918,7702453688.432056,7.7024536884320565,1.47549836
79,301922069,0.301922069,145674275,4855,4855,7839957620.353372,7.839957620353371,1.45674275
80,315712140,0.31571214,143299104,4776,4776,7678005730.287029,7.67800573028703,1.43299104
81,329382192,0.329382192,140448724,4681,4681,7748107613.787345,7.748107613787345,1.40448724
82,342705281,0.342705281,137152855,4571,4571,7827358661.622532,7.827358661622532,1.37152855
83,355437760,0.35543776,133453344,4448,4448,7705932083.460321,7.705932083460321,1.33453344
84,367328341,0.367328341,129385872,4312,4312,7838861906.667439,7.838861906667439,1.29385872
85,378122604,0.378122604,124996664,4166,4166,7741187994.200967,7.741187994200967,1.24996664
86,387574407,0.387574407,120334011,4011,4011,7687670663.374319,7.687670663374319,1.20334011
87,395455349,0.395455349,115447696,3848,3848,7791241965.05287,7.79124196505287,1.15447696
88,401564223,0.401564223,110392074,3679,3679,7711245604.164416,7.711245604164416,1.10392074
89,405737308,0.405737308,105224028,3507,3507,7819201699.829195,7.819201699829195,1.05224028
90,407856891,0.407856891,99999999,3333,3333,7790775040.608882,7.790775040608882,0.99999999
91,407856890,0.40785689,94773159,3159,3159,7715936422.637718,7.715936422637718,0.94773159
92,405725086,0.405725086,89603888,2986,2986,7761356815.839584,7.7613568158395845,0.89603888
93,401507122,0.401507122,84548454,2818,2818,7806294433.675723,7.806294433675723,0.84548454
94,395303216,0.395303216,79660620,2655,2655,7831345470.616758,7.831345470616759,0.7966062
95,387262993,0.387262993,74999988,2499,2499,7675191686.285189,7.6751916862851886,0.74999988
96,377581413,0.377581413,70608824,2353,2353,7671620167.255394,7.671620167255394,0.70608824
97,366483851,0.366483851,66542218,2218,2218,7718162717.538951,7.718162717538951,0.66542218
98,354222114,0.354222114,62840940,2094,2094,7733636374.871716,7.733636374871716,0.6284094
99,341059553,0.341059553,59547776,1984,1984,7651377829.054522,7.651377829054521,0.59547776
